eventid, userid, eventtime, type, diffgold, diffpower, difflevel
115,334,2022-12-16 12:14:18,2,83014,0,0
116,300,2022-12-16 12:15:07,3,0,0,1
117,134,2022-12-16 12:15:46,1,-44092,78399,0
118,285,2022-12-16 12:16:13,2,28701,0,0
119,841,2022-12-16 12:16:20,1,-72524,38225,0
120,673,2022-12-16 12:17:00,3,0,0,2
121,539,2022-12-16 12:17:22,2,3799,0,0
122,408,2022-12-16 12:17:38,2,36987,0,0
123,972,2022-12-16 12:17:40,3,0,0,2
124,229,2022-12-16 12:17:43,2,98601,0,0
125,366,2022-12-16 12:18:26,3,0,0,2
126,421,2022-12-16 12:19:15,3,0,0,1
127,740,2022-12-16 12:19:29,2,21752,0,0
128,829,2022-12-16 12:19:59,2,60071,0,0
129,526,2022-12-16 12:20:35,2,96261,0,0
130,803,2022-12-16 12:21:14,2,80095,0,0
131,291,2022-12-16 12:21:26,2,12003,0,0
132,707,2022-12-16 12:21:45,2,95655,0,0
133,767,2022-12-16 12:22:03,1,-35185,772,0
134,455,2022-12-16 12:22:35,3,0,0,1
135,165,2022-12-16 12:23:23,3,0,0,2
136,726,2022-12-16 12:23:50,1,-78783,27412,0
137,792,2022-12-16 12:24:26,3,0,0,2
138,695,2022-12-16 12:24:48,1,-47027,35433,0
139,637,2022-12-16 12:25:00,1,-44421,3440,0
140,504,2022-12-16 12:25:18,2,82914,0,0
141,841,2022-12-16 12:25:48,3,0,0,1
142,264,2022-12-16 12:25:56,2,647,0,0
143,191,2022-12-16 12:26:40,1,-24430,80583,0
144,816,2022-12-16 12:27:01,1,-22164,4841,0
145,896,2022-12-16 12:27:27,3,0,0,2
146,722,2022-12-16 12:28:17,3,0,0,2
147,626,2022-12-16 12:28:27,2,86199,0,0
148,753,2022-12-16 12:28:52,2,95065,0,0
149,988,2022-12-16 12:29:02,3,0,0,1
150,629,2022-12-16 12:29:16,2,1469,0,0
151,510,2022-12-16 12:29:35,2,98815,0,0
152,728,2022-12-16 12:29:38,1,-43302,57270,0
153,690,2022-12-16 12:29:47,2,21435,0,0
154,705,2022-12-16 12:30:35,3,0,0,1
155,830,2022-12-16 12:31:06,2,44174,0,0
156,665,2022-12-16 12:31:19,2,46487,0,0
157,206,2022-12-16 12:31:45,3,0,0,1
158,735,2022-12-16 12:32:15,1,-86210,95918,0
159,457,2022-12-16 12:32:34,1,-3875,30065,0
160,273,2022-12-16 12:33:08,2,34367,0,0
161,132,2022-12-16 12:33:56,1,-89762,11661,0
162,497,2022-12-16 12:34:45,2,70475,0,0
163,632,2022-12-16 12:35:08,1,-42836,70660,0
164,132,2022-12-16 12:35:23,2,8845,0,0
165,735,2022-12-16 12:35:28,1,-42788,81621,0
166,423,2022-12-16 12:36:10,3,0,0,1
167,936,2022-12-16 12:36:29,3,0,0,2
168,664,2022-12-16 12:37:00,1,-82568,68541,0
169,869,2022-12-16 12:37:19,3,0,0,1
170,635,2022-12-16 12:37:43,2,92978,0,0
171,26,2022-12-16 12:37:46,2,7741,0,0
172,114,2022-12-16 12:37:59,1,-5598,78739,0
173,212,2022-12-16 12:38:15,2,24137,0,0
174,495,2022-12-16 12:38:30,2,27628,0,0
175,598,2022-12-16 12:39:16,3,0,0,1
176,69,2022-12-16 12:39:39,3,0,0,1
177,610,2022-12-16 12:40:00,2,43889,0,0
178,770,2022-12-16 12:40:21,2,72040,0,0
179,543,2022-12-16 12:40:39,3,0,0,2
180,254,2022-12-16 12:41:04,1,-17393,5779,0
181,299,2022-12-16 12:41:20,2,80296,0,0
182,82,2022-12-16 12:41:52,3,0,0,1
183,218,2022-12-16 12:42:15,3,0,0,2
184,506,2022-12-16 12:42:38,1,-14845,76569,0
185,66,2022-12-16 12:43:18,1,-94526,49676,0
186,948,2022-12-16 12:43:34,3,0,0,1
187,167,2022-12-16 12:43:58,2,49967,0,0
188,928,2022-12-16 12:44:31,3,0,0,2
189,353,2022-12-16 12:44:41,2,35721,0,0
190,726,2022-12-16 12:44:54,3,0,0,1
191,883,2022-12-16 12:45:02,1,-51348,93468,0
192,340,2022-12-16 12:45:47,1,-93244,26057,0
193,832,2022-12-16 12:46:13,2,75047,0,0
194,172,2022-12-16 12:46:52,1,-86872,42258,0
195,89,2022-12-16 12:47:19,2,24757,0,0
196,177,2022-12-16 12:48:09,2,42999,0,0
197,356,2022-12-16 12:48:56,3,0,0,1
198,576,2022-12-16 12:49:09,3,0,0,2
199,220,2022-12-16 12:49:14,2,58931,0,0
200,893,2022-12-16 12:49:24,3,0,0,1
201,212,2022-12-16 12:49:47,2,50237,0,0
202,117,2022-12-16 12:50:00,2,97767,0,0
203,507,2022-12-16 12:50:28,2,71349,0,0
204,39,2022-12-16 12:50:29,1,-81404,83439,0
205,230,2022-12-16 12:50:45,1,-74609,32801,0
206,405,2022-12-16 12:50:56,3,0,0,1
207,639,2022-12-16 12:51:34,1,-51000,13047,0
208,750,2022-12-16 12:51:47,2,23965,0,0
209,482,2022-12-16 12:52:35,2,28610,0,0
210,804,2022-12-16 12:52:37,3,0,0,1
211,676,2022-12-16 12:53:23,3,0,0,2
212,459,2022-12-16 12:54:05,1,-97838,9662,0
213,511,2022-12-16 12:54:45,3,0,0,1
214,763,2022-12-16 12:55:23,1,-56932,62050,0
215,148,2022-12-16 12:56:09,1,-22674,9264,0
216,12,2022-12-16 12:56:27,3,0,0,2
217,740,2022-12-16 12:56:34,3,0,0,2
218,525,2022-12-16 12:56:36,1,-54240,51425,0
219,374,2022-12-16 12:56:58,1,-84893,37853,0
220,860,2022-12-16 12:57:14,1,-18488,18434,0
221,41,2022-12-16 12:57:26,3,0,0,1
222,757,2022-12-16 12:57:46,1,-58039,91229,0
223,410,2022-12-16 12:57:59,2,85382,0,0
224,384,2022-12-16 12:58:03,1,-95780,55586,0
225,645,2022-12-16 12:58:29,3,0,0,1
226,842,2022-12-16 12:58:55,1,-67943,84023,0
227,264,2022-12-16 12:59:34,1,-53087,24639,0
228,482,2022-12-16 13:00:12,2,94915,0,0
229,451,2022-12-16 13:00:38,1,-28098,10762,0
230,538,2022-12-16 13:01:24,3,0,0,1
231,637,2022-12-16 13:02:08,3,0,0,2
232,213,2022-12-16 13:02:49,3,0,0,2
233,697,2022-12-16 13:03:36,3,0,0,2
234,56,2022-12-16 13:04:09,3,0,0,1
235,297,2022-12-16 13:04:27,3,0,0,1
236,8,2022-12-16 13:04:38,2,77041,0,0
237,843,2022-12-16 13:05:12,2,48426,0,0
238,650,2022-12-16 13:05:38,1,-34375,37910,0
239,337,2022-12-16 13:05:41,3,0,0,2
240,761,2022-12-16 13:05:58,1,-14887,24177,0
241,62,2022-12-16 13:06:07,3,0,0,1
242,243,2022-12-16 13:06:13,3,0,0,2
243,926,2022-12-16 13:06:59,3,0,0,1
244,409,2022-12-16 13:07:08,3,0,0,1
245,644,2022-12-16 13:07:48,3,0,0,1
246,703,2022-12-16 13:08:24,3,0,0,2
247,230,2022-12-16 13:09:02,2,66051,0,0
248,653,2022-12-16 13:09:33,3,0,0,2
249,362,2022-12-16 13:10:04,1,-63007,16072,0
250,285,2022-12-16 13:10:29,3,0,0,2
251,968,2022-12-16 13:10:42,1,-56734,4976,0
252,668,2022-12-16 13:11:26,3,0,0,1
253,840,2022-12-16 13:12:06,2,36372,0,0
254,888,2022-12-16 13:12:46,1,-25938,81190,0
255,383,2022-12-16 13:13:08,2,30949,0,0
256,774,2022-12-16 13:13:34,2,69566,0,0
257,51,2022-12-16 13:14:23,2,89920,0,0
258,902,2022-12-16 13:15:00,2,9010,0,0
259,98,2022-12-16 13:15:35,3,0,0,1
260,830,2022-12-16 13:15:49,2,66821,0,0
261,67,2022-12-16 13:16:39,1,-72473,35553,0
262,1,2022-12-16 13:16:54,3,0,0,1
263,457,2022-12-16 13:16:57,3,0,0,2
264,545,2022-12-16 13:17:25,2,40123,0,0
265,89,2022-12-16 13:17:31,2,26546,0,0
266,898,2022-12-16 13:17:43,3,0,0,2
267,281,2022-12-16 13:18:22,3,0,0,2
268,80,2022-12-16 13:18:46,2,68659,0,0
269,292,2022-12-16 13:19:21,1,-38557,26042,0
270,410,2022-12-16 13:19:31,1,-77890,31396,0
271,503,2022-12-16 13:19:34,1,-55277,29795,0
272,658,2022-12-16 13:19:51,3,0,0,2
273,351,2022-12-16 13:20:38,1,-74839,55916,0
274,237,2022-12-16 13:21:16,2,79377,0,0
275,607,2022-12-16 13:21:49,3,0,0,2
276,35,2022-12-16 13:22:11,3,0,0,1
277,17,2022-12-16 13:22:14,2,51229,0,0
278,810,2022-12-16 13:22:19,2,21559,0,0
279,104,2022-12-16 13:22:25,3,0,0,1
280,450,2022-12-16 13:23:04,2,36875,0,0
281,452,2022-12-16 13:23:43,3,0,0,1
282,173,2022-12-16 13:24:15,3,0,0,1
283,218,2022-12-16 13:24:27,2,39931,0,0
284,488,2022-12-16 13:24:48,1,-72911,77385,0
285,881,2022-12-16 13:24:50,3,0,0,2
286,869,2022-12-16 13:25:16,2,11721,0,0
287,228,2022-12-16 13:25:47,3,0,0,1
288,401,2022-12-16 13:26:21,2,82588,0,0
289,840,2022-12-16 13:26:44,1,-8137,91043,0
290,942,2022-12-16 13:27:21,1,-34677,84828,0
291,378,2022-12-16 13:28:08,3,0,0,2
292,243,2022-12-16 13:28:32,1,-17470,95743,0
293,18,2022-12-16 13:29:02,3,0,0,1
294,470,2022-12-16 13:29:24,1,-39091,11528,0
295,112,2022-12-16 13:30:05,2,77313,0,0
296,702,2022-12-16 13:30:16,2,33678,0,0
297,740,2022-12-16 13:30:41,3,0,0,2
298,887,2022-12-16 13:31:07,2,79597,0,0
299,27,2022-12-16 13:31:25,1,-45273,83358,0
300,844,2022-12-16 13:31:42,1,-32228,27793,0
301,803,2022-12-16 13:31:52,3,0,0,2
302,604,2022-12-16 13:32:00,1,-98753,2093,0
303,101,2022-12-16 13:32:47,3,0,0,2
304,618,2022-12-16 13:33:17,1,-49747,25069,0
305,872,2022-12-16 13:33:30,1,-14213,57103,0
306,820,2022-12-16 13:33:42,1,-30069,97484,0
307,617,2022-12-16 13:34:27,3,0,0,2
308,932,2022-12-16 13:34:29,3,0,0,2
309,144,2022-12-16 13:34:43,2,7843,0,0
310,177,2022-12-16 13:35:02,2,43377,0,0
311,29,2022-12-16 13:35:07,2,42306,0,0
312,309,2022-12-16 13:35:29,1,-98243,945,0
313,806,2022-12-16 13:36:15,3,0,0,1
314,799,2022-12-16 13:36:27,3,0,0,1
315,389,2022-12-16 13:36:30,1,-73311,68280,0
316,553,2022-12-16 13:37:03,1,-68427,93355,0
317,961,2022-12-16 13:37:22,1,-52095,56348,0
318,251,2022-12-16 13:37:25,2,73153,0,0
319,63,2022-12-16 13:37:57,2,52393,0,0
320,322,2022-12-16 13:38:30,3,0,0,2
321,14,2022-12-16 13:39:15,1,-56568,29146,0
322,4,2022-12-16 13:39:26,1,-66933,99445,0
323,370,2022-12-16 13:39:50,1,-69167,59791,0
324,352,2022-12-16 13:40:01,2,16348,0,0
325,206,2022-12-16 13:40:05,3,0,0,1
326,621,2022-12-16 13:40:55,3,0,0,1
327,745,2022-12-16 13:41:10,2,2940,0,0
328,581,2022-12-16 13:41:24,3,0,0,1
329,489,2022-12-16 13:42:12,2,7852,0,0
330,905,2022-12-16 13:42:23,1,-71105,78502,0
331,369,2022-12-16 13:43:11,3,0,0,1
332,393,2022-12-16 13:43:47,2,36692,0,0
333,954,2022-12-16 13:44:25,1,-13163,55630,0
334,822,2022-12-16 13:44:52,2,8516,0,0
335,229,2022-12-16 13:45:13,1,-73302,74389,0
336,115,2022-12-16 13:45:14,3,0,0,1
337,554,2022-12-16 13:45:52,1,-62828,20683,0
338,727,2022-12-16 13:46:38,2,17839,0,0
339,124,2022-12-16 13:47:21,2,70138,0,0
340,411,2022-12-16 13:47:53,1,-74682,60054,0
341,608,2022-12-16 13:47:58,1,-92914,28163,0
342,6,2022-12-16 13:48:15,2,65791,0,0
343,175,2022-12-16 13:48:35,1,-4585,91696,0
344,90,2022-12-16 13:49:23,3,0,0,1
345,317,2022-12-16 13:50:00,2,7325,0,0
346,233,2022-12-16 13:50:50,1,-75291,43028,0
347,75,2022-12-16 13:51:36,2,76153,0,0
348,108,2022-12-16 13:52:13,1,-40228,50459,0
349,350,2022-12-16 13:52:39,1,-10305,63973,0
350,454,2022-12-16 13:52:41,3,0,0,1
351,390,2022-12-16 13:52:47,1,-37723,36721,0
352,948,2022-12-16 13:52:55,2,10508,0,0
353,863,2022-12-16 13:53:43,2,53074,0,0
354,10,2022-12-16 13:54:22,1,-90962,15037,0
355,809,2022-12-16 13:54:24,3,0,0,2
356,711,2022-12-16 13:55:05,1,-59498,62571,0
357,452,2022-12-16 13:55:50,2,50314,0,0
358,698,2022-12-16 13:56:05,2,87876,0,0
359,851,2022-12-16 13:56:37,3,0,0,1
360,224,2022-12-16 13:57:13,3,0,0,2
361,801,2022-12-16 13:57:46,2,72697,0,0
362,200,2022-12-16 13:57:55,3,0,0,2
363,446,2022-12-16 13:58:06,3,0,0,2
364,805,2022-12-16 13:58:11,3,0,0,1
365,28,2022-12-16 13:58:58,3,0,0,1
366,792,2022-12-16 13:59:30,2,79801,0,0
367,597,2022-12-16 13:59:48,1,-48726,66340,0
368,898,2022-12-16 14:00:22,1,-77538,38473,0
369,27,2022-12-16 14:00:47,1,-5055,32179,0
370,484,2022-12-16 14:01:10,1,-10960,97316,0
371,826,2022-12-16 14:01:49,2,10444,0,0
372,184,2022-12-16 14:02:37,1,-57498,33396,0
373,94,2022-12-16 14:02:41,3,0,0,1
374,140,2022-12-16 14:03:08,2,87701,0,0
375,41,2022-12-16 14:03:20,1,-48552,82820,0
376,19,2022-12-16 14:03:53,2,99903,0,0
377,222,2022-12-16 14:04:12,3,0,0,2
378,756,2022-12-16 14:04:45,1,-25142,18913,0
379,997,2022-12-16 14:05:05,1,-72081,56142,0
380,397,2022-12-16 14:05:35,1,-77351,77002,0
381,649,2022-12-16 14:05:37,1,-72023,11035,0
382,220,2022-12-16 14:05:46,2,80115,0,0
383,454,2022-12-16 14:06:06,3,0,0,2
384,847,2022-12-16 14:06:36,3,0,0,2
385,394,2022-12-16 14:07:24,3,0,0,1
386,388,2022-12-16 14:07:57,3,0,0,2
387,629,2022-12-16 14:08:04,3,0,0,1
388,902,2022-12-16 14:08:32,1,-60845,10612,0
389,219,2022-12-16 14:08:47,3,0,0,2
390,620,2022-12-16 14:08:54,2,81958,0,0
391,202,2022-12-16 14:09:04,1,-22533,35620,0
392,330,2022-12-16 14:09:16,1,-39569,33962,0
393,481,2022-12-16 14:09:57,2,29452,0,0
394,972,2022-12-16 14:10:32,1,-52503,36137,0
395,346,2022-12-16 14:10:44,2,44096,0,0
396,244,2022-12-16 14:11:21,3,0,0,2
397,410,2022-12-16 14:11:36,2,58462,0,0
398,98,2022-12-16 14:11:42,3,0,0,1
399,341,2022-12-16 14:12:01,3,0,0,2
400,301,2022-12-16 14:12:03,2,27181,0,0
401,611,2022-12-16 14:12:39,2,33329,0,0
402,593,2022-12-16 14:13:08,1,-63662,93150,0
403,546,2022-12-16 14:13:48,1,-33469,61023,0
404,797,2022-12-16 14:14:02,2,90810,0,0
405,235,2022-12-16 14:14:40,3,0,0,2
406,443,2022-12-16 14:15:11,2,92187,0,0
407,119,2022-12-16 14:15:23,2,40904,0,0
408,380,2022-12-16 14:16:06,2,11297,0,0
409,415,2022-12-16 14:16:27,3,0,0,1
410,21,2022-12-16 14:16:51,1,-72921,55876,0
411,128,2022-12-16 14:16:58,1,-23379,96156,0
412,856,2022-12-16 14:17:27,1,-43381,67067,0
413,917,2022-12-16 14:17:46,3,0,0,1
414,335,2022-12-16 14:18:04,1,-87798,18567,0
415,54,2022-12-16 14:18:42,2,94012,0,0
416,480,2022-12-16 14:19:27,3,0,0,1
417,878,2022-12-16 14:20:05,2,49041,0,0
418,789,2022-12-16 14:20:43,1,-92229,73451,0
419,377,2022-12-16 14:21:15,3,0,0,2
420,266,2022-12-16 14:21:48,3,0,0,2
421,673,2022-12-16 14:21:54,2,2056,0,0
422,789,2022-12-16 14:22:25,3,0,0,2
423,551,2022-12-16 14:23:01,3,0,0,2
424,410,2022-12-16 14:23:44,1,-25070,81114,0
425,879,2022-12-16 14:24:16,2,50711,0,0
426,886,2022-12-16 14:24:45,3,0,0,2
427,981,2022-12-16 14:25:09,2,65960,0,0
428,632,2022-12-16 14:25:11,3,0,0,2
429,442,2022-12-16 14:25:14,1,-61462,79450,0
430,731,2022-12-16 14:25:45,1,-29323,13185,0
431,567,2022-12-16 14:26:15,2,35550,0,0
432,187,2022-12-16 14:26:42,1,-18776,40852,0
433,75,2022-12-16 14:27:09,2,34845,0,0
434,272,2022-12-16 14:27:32,1,-51385,1780,0
435,403,2022-12-16 14:27:54,1,-60424,33647,0
436,218,2022-12-16 14:28:08,1,-83976,13715,0
437,559,2022-12-16 14:28:29,3,0,0,2
438,12,2022-12-16 14:28:31,2,69120,0,0
439,808,2022-12-16 14:28:54,2,49557,0,0
440,422,2022-12-16 14:29:09,3,0,0,2
441,952,2022-12-16 14:29:43,1,-33844,43640,0
442,968,2022-12-16 14:29:53,1,-34794,47168,0
443,962,2022-12-16 14:30:25,3,0,0,1
444,919,2022-12-16 14:31:13,3,0,0,1
445,654,2022-12-16 14:32:01,3,0,0,2
446,750,2022-12-16 14:32:44,1,-45966,78713,0
447,564,2022-12-16 14:32:55,2,95959,0,0
448,342,2022-12-16 14:33:28,3,0,0,2
449,797,2022-12-16 14:34:11,3,0,0,2
450,881,2022-12-16 14:34:52,2,55151,0,0
451,6,2022-12-16 14:35:33,2,47251,0,0
452,874,2022-12-16 14:35:45,2,20189,0,0
453,672,2022-12-16 14:36:11,1,-90026,68012,0
454,546,2022-12-16 14:36:43,3,0,0,1
455,505,2022-12-16 14:37:27,2,69119,0,0
456,778,2022-12-16 14:38:14,1,-30359,14891,0
457,412,2022-12-16 14:38:28,2,47921,0,0
458,236,2022-12-16 14:39:09,1,-16199,92376,0
459,400,2022-12-16 14:39:28,2,50775,0,0
460,411,2022-12-16 14:39:46,2,32118,0,0
461,1000,2022-12-16 14:39:59,2,62406,0,0
462,674,2022-12-16 14:40:19,3,0,0,2
463,453,2022-12-16 14:40:58,1,-29163,36188,0
464,137,2022-12-16 14:41:48,3,0,0,2
465,872,2022-12-16 14:42:08,3,0,0,2
466,822,2022-12-16 14:42:37,1,-70173,56109,0
467,636,2022-12-16 14:43:05,3,0,0,1
468,996,2022-12-16 14:43:29,2,22610,0,0
469,542,2022-12-16 14:43:36,2,30176,0,0
470,201,2022-12-16 14:43:38,1,-83992,47847,0
471,884,2022-12-16 14:44:00,1,-85152,19792,0
472,624,2022-12-16 14:44:47,2,81975,0,0
473,973,2022-12-16 14:45:08,3,0,0,1
474,391,2022-12-16 14:45:19,1,-41158,25835,0
475,196,2022-12-16 14:45:44,1,-13223,50675,0
476,556,2022-12-16 14:45:48,3,0,0,1
477,904,2022-12-16 14:46:16,1,-34810,11385,0
478,305,2022-12-16 14:46:45,2,62052,0,0
479,231,2022-12-16 14:46:55,3,0,0,2
480,335,2022-12-16 14:47:13,2,80716,0,0
481,26,2022-12-16 14:47:45,3,0,0,1
482,894,2022-12-16 14:48:19,2,70752,0,0
483,375,2022-12-16 14:48:21,1,-95699,27631,0
484,974,2022-12-16 14:48:44,1,-96592,6925,0
485,334,2022-12-16 14:48:49,1,-12076,84357,0
486,551,2022-12-16 14:48:58,1,-70698,6575,0
487,698,2022-12-16 14:49:27,1,-6895,66058,0
488,452,2022-12-16 14:50:05,3,0,0,2
489,157,2022-12-16 14:50:25,3,0,0,1
490,106,2022-12-16 14:50:29,1,-46679,91625,0
491,513,2022-12-16 14:50:45,1,-78003,81659,0
492,929,2022-12-16 14:51:10,3,0,0,2
493,56,2022-12-16 14:51:24,1,-25357,38883,0
494,252,2022-12-16 14:52:11,2,42069,0,0
495,473,2022-12-16 14:52:43,2,96435,0,0
496,853,2022-12-16 14:52:59,1,-36045,33604,0
497,435,2022-12-16 14:53:48,1,-79025,80306,0
498,736,2022-12-16 14:54:06,1,-80867,74807,0
499,320,2022-12-16 14:54:18,3,0,0,2
500,682,2022-12-16 14:54:31,1,-43297,94432,0
501,162,2022-12-16 14:54:53,2,52178,0,0
502,601,2022-12-16 14:55:40,3,0,0,2
503,325,2022-12-16 14:56:21,2,4128,0,0
504,422,2022-12-16 14:56:37,2,68725,0,0
505,403,2022-12-16 14:56:47,2,46529,0,0
506,412,2022-12-16 14:57:12,2,96489,0,0
507,75,2022-12-16 14:57:17,3,0,0,1
508,167,2022-12-16 14:58:04,3,0,0,2
509,120,2022-12-16 14:58:06,3,0,0,1
510,297,2022-12-16 14:58:48,2,91589,0,0
511,470,2022-12-16 14:59:25,1,-80011,41824,0
512,799,2022-12-16 14:59:38,3,0,0,2
513,799,2022-12-16 15:00:16,3,0,0,1
514,578,2022-12-16 15:00:56,3,0,0,2
515,181,2022-12-16 15:01:05,2,17289,0,0
516,128,2022-12-16 15:01:14,3,0,0,2
517,193,2022-12-16 15:02:02,3,0,0,2
518,774,2022-12-16 15:02:11,3,0,0,1
519,749,2022-12-16 15:02:22,1,-75524,70327,0
520,680,2022-12-16 15:02:26,2,61764,0,0
521,906,2022-12-16 15:02:43,3,0,0,2
522,38,2022-12-16 15:03:27,3,0,0,2
523,16,2022-12-16 15:03:43,3,0,0,1
524,517,2022-12-16 15:03:51,3,0,0,1
525,362,2022-12-16 15:04:20,2,66272,0,0
526,205,2022-12-16 15:04:56,1,-38371,71344,0
527,123,2022-12-16 15:05:29,1,-77713,69681,0
528,583,2022-12-16 15:06:16,2,91396,0,0
529,202,2022-12-16 15:07:04,3,0,0,2
530,266,2022-12-16 15:07:33,3,0,0,2
